# MLER wave profile generated on 21-Mar-2016 13:58:16
#
# Config: C
# Source RAO: ../RAO_data/RAO_heave_RM3float.dat
#
### Setup 
# x0:          0.000   (m, peak position) 
# x_start:    -600.000   (m, start position) 
# Rho:        1025.000   (kg/m^3, density of water) 
# g:           9.801   (m/s^2, gravity) 
# depth:      70.000   (m, water depth) 
# startTime:  -150.000   (s) 
# endTime:    150.000   (s) 
# dt:          0.250   (s) 
# t0:          0.000   (s, response peak time) 
#
### Wave info:
# NumFreq: 500.000000    (-, number of frequencies)
# dW:       0.01257 (rad/s, frequency spacing)
# Hs:       9.000  (m, significant wave height) 
# Tp:      15.100  (s, wave period) 
#
# Max wave elevation:   8.550  (m) 
# Min wave elevation:  -7.763  (m) 
# Max WEC Response:     8.563  (m) 
# Min WEC Response:    -7.789  (m) 
#
# Probability of wave exceeding Max wave elevation:  0.00727704
#
# Note: Phase is calculated at X0 and t0.  For starting at a different point along x or in time, phase must be adjusted.
#
#Form of equation for wave elevation:
#   WaveElev = sum( sqrt(SpectAmp) * cos( -k*(x-X0) + w*(t-T0) + Phase) ) * dw
#
#
#   frequency      SpectAmp      Phase     wavenumber
#   (rad/s)          (m^2)       (rad)      (rad^2/m)
3.543717     0.00000000     0.40420985     1.28129035
3.556283     0.00000000     0.48870808     1.29039363
3.568849     0.00000000     0.57297142     1.29952913
3.581416     0.00000000     0.65683063     1.30869686
3.593982     0.00000000     0.74011643     1.31789680
3.606548     0.00000000     0.82265959     1.32712898
3.619115     0.00000000     0.90429084     1.33639338
3.631681     0.00000000     0.98484092     1.34569000
3.644247     0.00000000     1.06414058     1.35501884
3.656814     0.00000000     1.14202056     1.36437991
3.669380     0.00000000     1.21831161     1.37377321
3.681947     0.00000000     1.29284447     1.38319872
3.694513     0.00000000     1.36544988     1.39265647
3.707079     0.00000000     1.43595858     1.40214643
3.719646     0.00000000     1.50420133     1.41166862
3.732212     0.00000000     1.57000886     1.42122303
3.744778     0.00000000     1.63321191     1.43080967
3.757345     0.00000000     1.69364123     1.44042853
3.769911     0.00000000     1.75112757     1.45007962
3.782478     0.00000000     1.80550167     1.45976293
3.795044     0.00000000     1.85659426     1.46947846
3.807610     0.00000000     1.90423611     1.47922622
3.820177     0.00000000     1.94825793     1.48900620
3.832743     0.00000000     1.98849049     1.49881841
3.845309     0.00000000     2.02476453     1.50866283
3.857876     0.00000000     2.05691078     1.51853949
3.870442     0.00000000     2.08476000     1.52844837
3.883009     0.00000000     2.10814292     1.53838947
3.895575     0.00000000     2.12689029     1.54836279
3.908141     0.00000000     2.14083286     1.55836834
3.920708     0.00000000     2.14980136     1.56840611
3.933274     0.00000000     2.15427829     1.57847611
3.945840     0.00000000     2.15806841     1.58857833
3.958407     0.00000000     2.16181653     1.59871278
3.970973     0.00000000     2.16552274     1.60887945
3.983539     0.00000000     2.16918714     1.61907834
3.996106     0.00000000     2.17280985     1.62930946
4.008672     0.00000000     2.17639096     1.63957280
4.021239     0.00000000     2.17993058     1.64986837
4.033805     0.00000000     2.18342880     1.66019615
4.046371     0.00000000     2.18688574     1.67055617
4.058938     0.00000000     2.19030150     1.68094841
4.071504     0.00000000     2.19367617     1.69137287
4.084070     0.00000000     2.19700987     1.70182955
4.096637     0.00000000     2.20030270     1.71231846
4.109203     0.00000000     2.20355475     1.72283959
4.121770     0.00000000     2.20676613     1.73339295
4.134336     0.00000000     2.20993695     1.74397853
4.146902     0.00000000     2.21306731     1.75459634
4.159469     0.00000000     2.21615732     1.76524637
4.172035     0.00000000     2.21920706     1.77592862
4.184601     0.00000000     2.22221666     1.78664310
4.197168     0.00000000     2.22518620     1.79738980
4.209734     0.00000000     2.22811580     1.80816872
4.222301     0.00000000     2.23100556     1.81897987
4.234867     0.00000000     2.23385558     1.82982325
4.247433     0.00000000     2.23666596     1.84069884
4.260000     0.00000000     2.23943681     1.85160666
4.272566     0.00000000     2.24216824     1.86254671
4.285132     0.00000000     2.24486033     1.87351898
4.297699     0.00000000     2.24751320     1.88452347
4.310265     0.00000000     2.25012696     1.89556019
4.322831     0.00000000     2.25270169     1.90662913
4.335398     0.00000000     2.25523751     1.91773030
4.347964     0.00000000     2.25773452     1.92886368
4.360531     0.00000000     2.26019283     1.94002930
4.373097     0.00000000     2.26261253     1.95122713
4.385663     0.00000000     2.26499373     1.96245720
4.398230     0.00000000     2.26733653     1.97371948
4.410796     0.00000000     2.26964104     1.98501399
4.423362     0.00000000     2.27190736     1.99634072
4.435929     0.00000000     2.27413559     2.00769968
4.448495     0.00000000     2.27632583     2.01909086
4.461062     0.00000000     2.27847820     2.03051427
4.473628     0.00000000     2.28059278     2.04196989
4.486194     0.00000000     2.28266969     2.05345775
4.498761     0.00000000     2.28470903     2.06497782
4.511327     0.00000000     2.28671090     2.07653013
4.523893     0.00000000     2.28867540     2.08811465
4.536460     0.00000000     2.29060264     2.09973140
4.549026     0.00000000     2.29249272     2.11138037
4.561593     0.00000000     2.29434575     2.12306157
4.574159     0.00000000     2.29616182     2.13477499
4.586725     0.00000000     2.29794104     2.14652063
4.599292     0.00000000     2.29968352     2.15829850
4.611858     0.00000000     2.30138935     2.17010860
4.624424     0.00000000     2.30305864     2.18195091
4.636991     0.00000000     2.30469150     2.19382545
4.649557     0.00000000     2.30628802     2.20573222
